Optimização,,,Luz Natural,Área Habitável Bruta (m2),Área Bruta dos Terraços/Varandas (m2),Alterações de Preço,,Preço,Percentagem Área Exterior/Área Total,,,,,,,,
Bloco 1,A t1,18,4,54.70,103.48,,"300,104","300,104",65.42%,,,"40.62425817376896, -8.621296868164919",,,,Vendas,"6,320,619"
,B t1,18,4,69.57,10.25,,"254,258","254,258",12.84%,,,,,,,Preço/m2,3500
,C t2,19,5,98.44,99.03,,"448,522","448,522",50.15%,,,,,,,Preço/m2,1050
,D t2,20,5,79.02,82.70,,"363,405","363,405",51.14%,,,,,,,,
,E t2,19,3,93.78,12.19,,"341,030","341,030",11.50%,,,,,,,,
,F t2,21,3,106.22,17.46,,"390,103","390,103",14.12%,,,,,,,,
,G t2,22,4,105.62,13.40,,"383,740","383,740",11.26%,,,,,,,,
,H t3 D,23,4,142.44,77.38,,"579,789","579,789",35.20%,,,,,,,,
Bloco 2,A t1,17,3,67.85,9.50,,"247,450","247,450",12.28%,,,,,,,,
,B t1,19,5,66.61,100.81,,"338,986","338,986",60.21%,,,,,,,,
,C t2,19,5,80.97,92.41,,"380,426","380,426",53.30%,,,,,,,,
,D t2,20,4,74.59,86.30,,"351,680","351,680",53.64%,,,,,,,,
,E t3 D,23,3,137.09,26.36,,"507,493","507,493",16.13%,,,,,,,,
,F t2,23,5,106.65,11.34,,"385,182","385,182",9.61%,,,,,,,,
,G t3 D,24,5,144.84,40.41,,"549,371","549,371",21.81%,,,,,,,,
,H t3,23,3,136.25,21.15,,"499,083","499,083",13.44%,,,,,,,,
Bloco 1,,A,B,C,D,E,F,G,H,,,,,,,,
,Luz Natural,4,4,5,5,3,3,4,4,,,,,,,,
,Piso,1,1,1,1,2,2,2,3,,,,,,,,
,Layout,4,4,4,5,4,5,4,3,,,,,,,,
,Terraço/Varanda,5,2,4,5,3,3,3,4,,,,,,,,
,Vista,2,2,2,1,2,3,4,5,,,,,,,,
,Preço Acumulado,2,5,3,3,5,5,5,4,,,,,,,,
,Pontuação,18,18,19,20,19,21,22,23,,,,,,,,
Bloco 2,,A,B,C,D,E,F,G,H,,,,,,,,
,Luz Natural,3,5,5,4,3,5,5,3,,,,,,,,
,Piso,1,1,1,1,3,2,3,2,,,,,,,,
,Layout,4,3,4,5,4,5,3,5,,,,,,,,
,Terraço/Varanda,2,5,4,4,4,3,5,4,,,,,,,,
,Vista,2,2,2,3,4,3,4,4,,,,,,,,
,Preço Acumulado,5,3,3,3,5,5,4,5,,,,,,,,
,Pontuação,17,19,19,20,23,23,24,23,,,,,,,,
